
#	
Player
Team	
GP
MPG
PPG
FGM
FGA
FG%
3PM
3PA
3P%
FTM
FTA
FT%
ORB
DRB
RPG
APG
SPG
BPG
TOV
PF
101	Sean East II	MZZOU	30	34.2	17.6	6.2	12.0	.521	1.2	2.7	.450	4.0	4.6	.856	0.8	2.7	3.5	4.0	1.1	0.2	3.0	2.5
102	Walter Clayton, Jr.	FLA	36	30.9	17.6	5.6	13.0	.432	2.6	7.1	.365	3.8	4.3	.877	0.5	3.1	3.6	2.6	1.1	0.6	2.2	2.4
103	Dawson Garcia	MINN	31	31.9	17.6	6.0	12.4	.486	0.9	2.9	.319	4.6	5.7	.802	1.7	5.0	6.7	1.6	0.8	1.0	2.0	2.3
104	Marcus Tsohonis	LBSU	31	29.1	17.6	6.1	15.2	.400	1.3	4.3	.293	4.2	5.5	.769	1.0	2.2	3.2	2.9	1.3	0.2	2.0	1.8
105	Trey Alexander	CREI	35	37.3	17.6	6.6	14.9	.446	1.8	5.2	.339	2.5	3.1	.824	0.5	5.2	5.7	4.7	1.1	0.4	2.5	1.7
106	Jordan Pope	ORST	32	35.6	17.6	6.3	13.9	.451	2.1	5.6	.371	2.9	3.3	.879	0.6	1.9	2.6	3.4	0.7	0.1	2.3	1.3
107	Alston Mason	MZZST	30	35.2	17.5	6.0	14.2	.423	2.4	6.8	.353	3.1	4.0	.783	0.4	2.6	3.0	3.6	0.8	0.1	2.4	2.1
108	Duke Miles	HP	33	30.5	17.5	6.4	12.1	.528	1.3	3.7	.361	3.4	4.3	.801	0.1	2.3	2.4	3.6	1.3	0.2	2.0	2.6
109	Markus Burton	ND	33	33.7	17.5	6.4	15.1	.421	1.3	4.2	.300	3.5	4.2	.821	0.6	2.7	3.3	4.3	1.9	0.2	3.7	2.9
110	Kevin Cross	TULAN	30	36.0	17.5	5.9	11.5	.513	0.7	1.7	.423	4.9	6.0	.818	0.9	6.4	7.3	4.6	1.3	0.9	3.0	2.3
111	Honor Huff	CHATT	33	34.5	17.4	5.5	12.6	.434	3.3	8.7	.380	3.2	3.9	.828	0.2	2.5	2.7	2.6	1.7	0.1	1.3	1.4
112	Vasean Allette	ODU	19	32.2	17.4	6.9	15.4	.452	1.5	4.2	.354	2.1	3.4	.609	1.0	4.7	5.7	3.1	1.8	0.0	2.3	2.3
113	Robbie Avila	INDST	37	31.2	17.4	6.1	11.3	.536	1.6	4.2	.394	3.6	4.5	.808	1.2	5.4	6.6	4.1	0.7	0.6	1.8	2.6
114	Deon Perry	L-MD	29	33.2	17.3	5.7	14.9	.384	2.7	7.8	.351	3.2	3.5	.911	0.4	2.2	2.6	2.9	1.5	0.0	2.9	2.2
115	Kobe Julien	LA	33	31.5	17.3	5.9	13.2	.446	1.6	4.9	.325	4.0	4.8	.824	1.2	3.6	4.8	1.2	1.1	0.7	2.2	2.8
116	Erik Reynolds II	STJOE	35	34.7	17.3	5.5	13.1	.420	3.2	8.4	.380	3.1	3.5	.871	0.3	2.4	2.7	2.7	1.2	0.2	1.4	1.9
117	R.J. Felton	ECAR	33	34.4	17.3	6.1	14.1	.431	2.1	6.0	.355	3.0	3.8	.778	2.0	3.9	6.0	1.3	1.8	0.6	1.4	2.0
118	Ryan Kalkbrenner	CREI	35	34.7	17.3	6.9	10.7	.646	0.5	1.5	.296	3.0	4.3	.711	2.5	5.1	7.6	1.3	0.4	3.1	1.5	1.9
119	Trey Townsend	OAKL	36	36.4	17.3	6.1	13.4	.455	0.3	0.9	.375	4.7	6.0	.779	2.1	5.9	8.1	3.1	1.3	0.3	2.5	1.3
120	Kam Jones	MARQ	36	29.0	17.2	6.5	13.0	.501	2.6	6.5	.406	1.5	2.1	.724	0.4	2.4	2.9	2.4	1.1	0.1	1.4	2.0
121	Michael Ajayi	PEPP	33	34.7	17.2	6.2	13.4	.467	1.2	2.5	.470	3.5	5.0	.709	2.3	7.6	9.9	1.9	0.9	0.5	2.0	2.5
122	Malik Mack	HAR	24	33.4	17.2	5.6	13.6	.410	1.9	5.5	.341	4.2	5.1	.813	0.5	3.5	4.0	4.8	1.3	0.1	2.5	1.7
123	Terrence Edwards, Jr.	JMU	36	30.3	17.2	5.6	13.2	.427	1.3	3.7	.343	4.6	5.7	.810	1.2	3.2	4.4	3.4	0.9	0.3	2.4	1.3
124	Jeremiah Hernandez	USI	31	31.3	17.2	4.9	11.8	.417	0.8	2.6	.317	6.5	8.0	.810	0.7	2.5	3.3	1.8	1.5	0.2	2.6	2.1
125	Jy'Are Davis	DEL	32	33.3	17.1	6.3	13.4	.466	0.6	2.4	.256	4.0	4.9	.814	1.6	5.9	7.5	2.4	0.8	0.8	1.8	2.2
126	Josh Hubbard	MISST	35	27.6	17.1	5.3	13.7	.385	3.1	8.7	.355	3.5	4.1	.853	0.3	1.9	2.2	1.7	0.7	0.1	1.2	1.4
127	Xaivian Lee	PRIN	29	31.1	17.1	5.9	13.0	.451	1.8	5.3	.338	3.6	4.4	.798	0.7	5.1	5.7	3.7	1.0	0.5	1.4	2.1
128	Norchad Omier	UMFL	31	30.6	17.0	6.4	11.6	.552	0.8	2.2	.353	3.5	4.6	.750	3.4	6.6	10.0	1.2	1.5	0.8	2.3	2.9
129	D.J. Brewton	CSFUL	31	33.0	17.0	6.5	14.5	.453	1.0	3.1	.330	2.9	4.3	.682	0.9	3.9	4.8	2.4	1.5	0.2	2.1	1.8
130	Jordan Derkack	MERRI	32	33.0	17.0	5.4	11.5	.466	1.0	3.8	.275	5.3	7.3	.724	1.2	4.8	6.0	3.9	2.1	0.2	4.0	2.4
131	Branden Carlson	U of U	36	29.6	17.0	6.4	12.9	.501	1.8	4.7	.379	2.4	3.3	.714	1.5	5.1	6.6	1.6	0.4	1.5	1.5	1.9
132	Quinten Post	BOS	35	31.9	17.0	6.3	12.3	.514	1.4	3.3	.431	2.9	3.5	.821	2.0	6.1	8.1	2.9	0.9	1.7	2.5	2.9
133	Kylen Milton	UAPB	29	31.8	17.0	5.0	9.8	.505	1.2	3.3	.351	5.9	8.0	.737	1.3	5.3	6.6	2.9	1.2	0.3	2.1	2.4
134	Deyton Albury	QUC	32	28.3	17.0	5.8	12.1	.482	0.6	1.7	.364	4.7	6.3	.750	0.8	5.0	5.8	3.7	1.2	0.4	3.3	2.6
135	Marcus Foster	FRMN	24	31.2	17.0	5.7	13.3	.425	2.0	6.9	.297	3.6	4.5	.813	0.9	6.6	7.5	1.8	1.0	0.3	2.0	1.9
136	Tyren Moore	GASO	32	28.0	17.0	5.8	12.5	.468	2.3	5.6	.406	3.0	3.5	.865	0.3	2.5	2.8	3.1	1.1	0.1	1.9	1.6
137	Austin Benigni	USNA	31	33.5	17.0	5.3	13.7	.387	0.6	2.5	.247	5.7	6.7	.847	0.5	2.4	2.9	3.8	0.7	0.1	2.4	2.7
138	Tyler Robertson	UP	33	35.6	16.9	6.1	13.5	.452	2.0	5.5	.372	2.7	3.4	.811	0.9	3.5	4.5	3.8	0.8	0.2	2.3	2.0
139	Malik Dia	BLMNT	33	23.1	16.9	6.4	13.0	.488	1.3	3.9	.341	2.9	4.5	.638	1.4	4.4	5.8	1.2	0.8	0.8	2.7	2.4
140	D.J. Horne	NCST	40	32.7	16.9	6.0	13.8	.436	2.6	6.5	.404	2.3	2.8	.814	0.5	3.0	3.5	2.1	1.3	0.1	1.4	2.0
141	Caleb Fields	FAIR	35	35.3	16.9	5.8	13.2	.436	3.2	8.3	.388	2.1	3.0	.721	1.0	3.1	4.1	2.7	1.4	0.1	1.3	1.4
142	DeMarcus Sharp	APSU	29	35.7	16.9	7.1	15.7	.453	0.0	0.5	.067	2.7	3.6	.748	1.0	5.4	6.4	4.2	1.9	0.9	1.9	2.6
143	Jamarii Thomas	NORF	33	31.1	16.9	4.7	11.6	.404	1.6	4.2	.380	5.9	7.3	.809	0.7	3.1	3.8	3.8	2.1	0.1	2.4	2.5
144	Sam Griffin	UWYOM	32	34.4	16.9	5.6	13.0	.431	2.4	6.1	.392	3.3	4.0	.835	0.3	3.5	3.7	3.4	0.7	0.0	2.4	0.9
145	Isaiah Stafford	VAL	29	32.0	16.9	6.1	16.0	.379	2.0	6.7	.294	2.8	3.8	.734	0.6	3.2	3.7	2.1	1.6	0.2	1.5	1.9
