1	Zach Edey	Purdue	Sr.	7-4	C	39	336	1	310	983	25.2
2	Tommy Bruner	Denver	Sr.	6-1	G	34	262	82	210	816	24.0
3	Terrence Shannon Jr.	Illinois	Sr.	6-6	G	32	219	77	221	736	23.0
4	Tyler Thomas	Hofstra	Sr.	6-3	G	33	265	125	87	742	22.5
5	Xavier Johnson	Southern Ill.	Sr.	6-1	G	32	211	68	219	709	22.2
6	David Jones	Memphis	Jr.	6-6	F	32	223	79	173	698	21.8
7	Tyson Acuff	Eastern Mich.	Sr.	6-4	G	27	219	49	99	586	21.7
8	Dalton Knecht	Tennessee	Sr.	6-6	G	36	264	93	159	780	21.7
9	Jordan Sears	UT Martin	Jr.	5-11	G	32	227	76	162	692	21.6
10	Tucker DeVries	Drake	Jr.	6-7	G	34	245	87	157	734	21.6
11	Mark Sears	Alabama	Sr.	6-1	G	37	252	95	198	797	21.5
12	Jaedon LeDee	San Diego St.	Sr.	6-9	F	36	263	20	226	772	21.4
13	Jordan Johnson	New Orleans	Sr.	6-1	G	32	210	81	182	683	21.3
14	Jalen Blackmon	Stetson	Jr.	6-3	G	35	244	110	146	744	21.3
15	PJ Haggerty	Tulsa	Fr.	6-3	G	31	199	22	237	657	21.2
16	RJ Davis	North Carolina	Sr.	6-0	G	37	260	113	151	784	21.2
17	BJ Freeman	Milwaukee	Jr.	6-6	G	27	189	66	126	570	21.1
18	Vonterius Woolbright	Western Caro.	Sr.	6-6	G	32	236	10	193	675	21.1
19	Keion Brooks Jr.	Washington	Sr.	6-7	F	32	228	52	166	674	21.1
20	Riley Minix	Morehead St.	Sr.	6-7	F	35	272	59	130	733	20.9
21	Landon Glasper	N.C. A&T	So.	6-2	G	24	152	62	135	501	20.9
22	Jayden Stone	Detroit Mercy	Sr.	6-4	G	26	188	62	104	542	20.8
23	Dillon Jones	Weber St.	Jr.	6-6	F	31	215	34	180	644	20.8
24	David Coit	NIU	Jr.	5-11	G	29	200	94	108	602	20.8
25	Elijah Pepper	UC Davis	Sr.	6-4	G	33	216	101	149	682	20.7
26	Drew Pember	UNC Asheville	Sr.	6-10	F	33	193	67	228	681	20.6
27	Marcus Hill	Bowling Green	Jr.	6-4	G	34	255	26	162	698	20.5
28	Xander Rice	Monmouth	Sr.	6-3	G	33	201	91	181	674	20.4
29	Jahmir Young	Maryland	Sr.	6-2	G	32	199	56	198	652	20.4
30	DaRon Holmes II	Dayton	Jr.	6-10	F	33	217	32	206	672	20.4
31	Antonio Reeves	Kentucky	Sr.	6-6	G	33	235	84	113	667	20.2
32	Frankie Fidler	Omaha	Jr.	6-7	F	33	198	52	216	664	20.1
33	Tyon Grant-Foster	Grand Canyon	Sr.	6-7	G	34	212	50	210	684	20.1
34	Ajay Mitchell	UC Santa Barbara	Jr.	6-4	G	29	195	33	157	580	20.0
-	Noah Reynolds	Green Bay	Jr.	6-3	G	27	202	34	102	540	20.0
36	Marques Warrick	Northern Ky.	Sr.	6-2	G	33	217	67	156	657	19.9
37	Issac McBride	Oral Roberts	Sr.	6-0	G	31	205	65	138	613	19.8
38	Trazarien White	UNCW	Jr.	6-6	F	30	202	23	166	593	19.8
39	Saint Thomas	Northern Colo.	Jr.	6-7	F	32	224	65	118	631	19.7
40	Devin Carter	Providence	Jr.	6-3	G	33	219	84	128	650	19.7
41	KJ Simpson	Colorado	Jr.	6-2	G	37	243	79	163	728	19.7
42	Chaz Lanier	North Florida	Jr.	6-4	G	32	214	106	95	629	19.7
43	Tristan Enaruna	Cleveland St.	Sr.	6-8	F	35	252	28	155	687	19.6
44	Sebastian Thomas	UAlbany	Jr.	6-1	G	32	218	50	141	627	19.6
45	Kobe Sanders	Cal Poly	Sr.	6-8	G	29	178	38	174	568	19.6
46	Trey Calvin	Wright St.	Sr.	6-0	G	31	212	62	121	607	19.6
-	Jaylon Tyson	California	Jr.	6-6	G	31	222	50	113	607	19.6
48	Anthony Dell'Orso	Campbell	So.	6-6	G	32	224	49	127	624	19.5
49	Clarence Daniels	New Hampshire	Sr.	6-6	F	31	207	53	135	602	19.4
50	Quincy Olivari	Xavier	Jr.	6-3	G	34	198	106	149	651	19.1
51	Jacob Crews	UT Martin	Jr.	6-8	G	32	206	89	111	612	19.1
52	Jason Edwards	North Texas	So.	6-0	G	34	214	84	138	650	19.1
53	Wade Taylor IV	Texas A&M	Jr.	6-0	G	36	214	98	161	687	19.1
54	Boo Buie	Northwestern	Sr.	6-2	G	34	215	89	127	646	19.0
55	Dion Brown	UMBC	So.	6-3	G	32	246	45	70	607	19.0
56	Mervin James	Rider	Sr.	6-7	F	32	223	21	139	606	18.9
57	Mikeal Brown-Jones	UNC Greensboro	Sr.	6-8	F	28	174	25	155	528	18.9
58	Judah Mintz	Syracuse	So.	6-3	G	32	188	24	202	602	18.8
59	Zeke Mayo	South Dakota St.	Jr.	6-4	G	35	218	92	130	658	18.8
-	Kino Lilly Jr.	Brown	Jr.	6-0	G	30	197	90	80	564	18.8
61	De'Sean Allen-Eikens	CSUN	Sr.	6-6	G	33	209	35	167	620	18.8
62	Ken Evans	Jackson St.	Jr.	6-5	G	32	189	62	161	601	18.8
63	Wesley Cardet	Chicago St.	Jr.	6-6	G	31	196	44	143	579	18.7
64	Basheer Jihad	Ball St.	Jr.	6-9	F	30	176	40	167	559	18.6
65	Enrique Freeman	Akron	Sr.	6-7	F	35	233	20	166	652	18.6
66	Jayden Epps	Georgetown	So.	6-2	G	29	177	64	119	537	18.5
67	Baylor Scheierman	Creighton	Sr.	6-7	G	35	219	110	99	647	18.5
68	Blake Hinson	Pittsburgh	Sr.	6-7	F	33	201	110	97	609	18.5
69	JP Pegues	Furman	Jr.	6-1	G	30	172	83	126	553	18.4
70	Robert McCray	Jacksonville	So.	6-4	G	32	212	54	111	589	18.4
71	Tyson Walker	Michigan St.	Sr.	6-1	G	34	238	64	85	625	18.4
72	Kevin McCullar Jr.	Kansas	Sr.	6-7	G	26	159	39	120	477	18.3
73	PJ Hall	Clemson	Sr.	6-10	F	36	240	52	127	659	18.3
74	Rayquan Brown	Mississippi Val.	Sr.	6-6	G	30	197	41	114	549	18.3
75	James Bishop IV	George Washington	Sr.	6-2	G	32	183	71	148	585	18.3
76	Johnell Davis	Fla. Atlantic	Jr.	6-3	G	34	214	58	132	618	18.2
77	Sy Chatman	Buffalo	Sr.	6-8	F	31	204	37	118	563	18.2
78	Jordan King	Richmond	Sr.	6-0	G	33	200	84	111	595	18.0
79	Hunter Sallis	Wake Forest	Jr.	6-5	G	34	224	75	90	613	18.0
80	Caleb Love	Arizona	Sr.	6-4	G	36	218	92	120	648	18.0
81	Clark Slajchert	Penn	Sr.	6-1	G	22	148	57	42	395	18.0
82	Sherif Gross-Bullock	Bryant	Sr.	6-4	G	32	193	84	104	574	17.9
83	Matt Balanc	Quinnipiac	Sr.	6-4	G	34	200	86	123	609	17.9
-	Cameron Tyson	Seattle U	Sr.	6-3	G	34	200	117	92	609	17.9
85	Hunter Dickinson	Kansas	Sr.	7-2	C	33	250	23	68	591	17.9
86	Kaleb Higgins	CSU Bakersfield	Sr.	5-10	G	32	208	41	115	572	17.9
87	Shahada Wells	McNeese	Sr.	6-0	G	33	205	48	131	589	17.8
88	KyKy Tandy	Jacksonville St.	Sr.	6-2	G	32	190	84	107	571	17.8
89	Darlinstone Dubar	Hofstra	Sr.	6-7	G	33	223	73	69	588	17.8
90	Jarod Lucas	Nevada	Sr.	6-4	G	34	182	80	161	605	17.8
91	Ty Johnson	UC Davis	Jr.	6-3	G	32	188	35	158	569	17.8
92	Great Osobor	Utah St.	Jr.	6-8	F	35	218	3	181	620	17.7
93	Rashad Williams	Ark.-Pine Bluff	Sr.	6-2	G	29	167	104	75	513	17.7
94	Sean East II	Missouri	Sr.	6-3	G	30	187	36	119	529	17.6
-	Dakota Leffew	Mount St. Mary's	Sr.	6-5	G	30	195	74	65	529	17.6
96	Walter Clayton Jr.	Florida	Jr.	6-2	G	36	202	93	136	633	17.6
97	Dawson Garcia	Minnesota	Jr.	6-11	F	31	187	29	142	545	17.6
-	Marcus Tsohonis	Long Beach St.	Sr.	6-3	G	31	188	39	130	545	17.6
99	Trey Alexander	Creighton	Jr.	6-4	G	35	232	62	89	615	17.6
100	Jordan Pope	Oregon St.	So.	6-2	G	32	201	66	94	562	17.6
101	Alston Mason	Missouri St.	Jr.	6-2	G	30	180	72	94	526	17.5
102	Markus Burton	Notre Dame	Fr.	5-11	G	33	210	42	115	577	17.5
-	Duke Miles	High Point	Jr.	6-3	G	33	210	44	113	577	17.5
104	Kevin Cross	Tulane	Sr.	6-8	F	30	177	22	148	524	17.5
105	Honor Huff	Chattanooga	So.	5-10	G	33	180	109	106	575	17.4
106	Robbie Avila	Indiana St.	So.	6-10	C	37	224	61	135	644	17.4
107	Deon Perry	Loyola Maryland	So.	5-8	G	29	166	79	92	503	17.3
108	Kobe Julien	Louisiana	Jr.	6-6	F	33	194	53	131	572	17.3
109	Erik Reynolds II	Saint Joseph's	Jr.	6-2	G	35	193	112	108	606	17.3
110	RJ Felton	East Carolina	Jr.	6-3	G	33	201	70	98	570	17.3
111	Ryan Kalkbrenner	Creighton	Sr.	7-1	C	35	241	16	106	604	17.3
112	Trey Townsend	Oakland	Jr.	6-6	F	36	220	12	169	621	17.2
113	Kam Jones	Marquette	Jr.	6-4	G	36	235	95	55	620	17.2
114	Michael Ajayi	Pepperdine	Jr.	6-7	G	33	206	39	117	568	17.2
115	Malik Mack	Harvard	Fr.	6-1	G	24	134	45	100	413	17.2
116	Ja'Kobi Gillespie	Belmont	So.	6-0	G	25	165	41	59	430	17.2
117	Terrence Edwards Jr.	James Madison	Jr.	6-6	G	36	203	46	166	618	17.2
118	Jyare Davis	Delaware	Jr.	6-7	F	32	200	20	127	547	17.1
119	Josh Hubbard	Mississippi St.	Fr.	5-10	G	35	184	108	122	598	17.1
120	Xaivian Lee	Princeton	So.	6-3	G	29	170	52	103	495	17.1
121	Dominic Brewton	Cal St. Fullerton	Sr.	6-3	G	31	203	32	90	528	17.0
-	Norchad Omier	Miami (FL)	Jr.	6-7	F	31	198	24	108	528	17.0
123	Jordan Derkack	Merrimack	So.	6-5	G	32	172	33	168	545	17.0
124	Branden Carlson	Utah	Sr.	7-0	C	36	232	64	85	613	17.0
125	Quinten Post	Boston College	Sr.	7-0	F	35	222	50	101	595	17.0
-	Kylen Milton	Ark.-Pine Bluff	Sr.	6-4	G	29	144	34	171	493	17.0
127	Tyren Moore	Ga. Southern	Sr.	5-11	G	32	187	73	96	543	17.0
128	Austin Benigni	Navy	So.	5-10	G	31	165	19	177	526	17.0
129	Malik Dia	Belmont	So.	6-9	F	33	210	44	95	559	16.9
-	Tyler Robertson	Portland	Sr.	6-6	G	33	201	67	90	559	16.9
131	DJ Horne	NC State	Sr.	6-1	G	40	240	105	92	677	16.9
132	Caleb Fields	Fairfield	Sr.	6-2	G	35	202	113	75	592	16.9
